Designator,Footprint,Quantity,Value,LCSC Part #
"BR10, BR11, BR12, BR7, BR8, BR9",0805,6,33k Ohm,C17633
C1,EEE1AA101SP,1,EEE-FT1V680AP,C413520
"C10, C13, C14, C15, C16, C5, C7, C8",0603,8,100nF,C14663
"C11, C12",0603,2,10uF,C92487
"C17, C59",0805,2,12 pF,C1792
C19,0805,1,15 pF,C107110
"C2, C4",1206,2,100nF,C365814
C23,0805,1,22uF,C45783
"C24, C26",1206,2,47uF,C96123
"C3, C9",0603,2,10uF,C1691
C6,C_Elec_10x10.2,1,10 uF,C48970948
"C79, C80",0805,2,100 nF,C49678
CBYP1,0805,1,100nF,C28233
CCOMP1,0805,1,150pF,C1716
"CCOMP2, CCOMP3",0805,2,1.5nF,C1717
CFILT1,0805,1,10 pF,C107107
D1,STTH506BTR,1,STTH506B,C283501
"GND1, VIN1",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,C492400
J3,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack_MountingPin,C22434582
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
L1,CYH127-330UH,1,CYH127-330UH,C2929508
L2,IND_BOURNS_SDR0403,1,SDR0403-3R3ML,C139481
"N1, N2, N3, N4, N5, N6",nixies-us-IN-16,6,IN-16,
Q1,FQD16N25CTM,1,FQD16N25CTM,C415866
"Q22, Q23, Q24, Q25, Q38, Q39",SOT-23,6,2N7002,
"Q26, Q27, Q28, Q29, Q30, Q31, Q32, Q33, Q34, Q35, Q36, Q37",SOT-23,12,MMBTA42,
Q8,SOT-23,1,SS8050,
"R13, R15, R17, R19, R21, R23",0603,6,100k,
"R14, R16, R18, R20, R22, R24",0603,6,100 Ohm,
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, RFFB1",0603,13,10k Ohm,C25804
"R39, R40",0805,2,5.1k,C27834
"R41, R42",0805,2,22,C17561
"R43, R44",0805,2,10k Ohm,
R45,0603,1,4.7k,C23162
R46,0805,1,0 ohm,C17477 
RCOMP1,0805,1,162 kOhm,C47115899
RFADJ1,0805,1,147 kOhm,C47115874
RFB1,0805,1,8.06 kOhm,C857074
RFB2,1206,1,1.2MOhm,C36337
RFBT1,0603,1,30.9 kOhm,C2930090
RFILT1,0805,1,100 Ohm,C17408
RSENSE1,1210,1,33 mOhm,C723419
SS8050,SOT-23,1,NPN,
"SW3, SW4",KH-6X6X5H-STM_SKE,2,EN,C2837531 
U1,VSSOP-8_3x3mm_P0.65mm,1,LM3478MM,C9404
"U2, U5",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,C10092
U4,SOT-563,1,TPS562202,C2877547
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U7,ESP32-WROOM-32D,1,ESP32-WROOM-32E-R2,
Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,C19631429
